,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
80,"{""$oid"": ""52cdef7c4bab8bd675297dde""}",ClipBlast!,web,15.0,2005.0,Agoura Hills,"{'type': 'Point', 'coordinates': [-118.756618, 34.155211]}",34.155211,-118.756618,0.0
81,"{""$oid"": ""52cdef7c4bab8bd675297de2""}",Tun3r,web,,,"Toronto, Ontario",,Invalid lat long,Invalid lat long,0.0
82,"{""$oid"": ""52cdef7c4bab8bd675297ddc""}",blinkx,games_video,,2004.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.395089, 37.793819]}",37.793819,-122.395089,0.0
83,"{""$oid"": ""52cdef7c4bab8bd675297de3""}",Spotplex,web,3.0,2007.0,Santa Clara,"{'type': 'Point', 'coordinates': [-121.940749, 37.380101]}",37.380101,-121.940749,450.0
84,"{""$oid"": ""52cdef7c4bab8bd675297de5""}",TripUp,web,,2006.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",34.052187,-118.243425,0.0
85,"{""$oid"": ""52cdef7c4bab8bd675297de6""}",Wakoopa,web,8.0,2007.0,Amsterdam,"{'type': 'Point', 'coordinates': [4.8948623, 52.3745228]}",52.3745228,4.8948623,1000.0
86,"{""$oid"": ""52cdef7c4bab8bd675297ddd""}",Mashery,enterprise,0.0,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4038047, 37.7870842]}",37.7870842,-122.4038047,34700.0
86,"{""$oid"": ""52cdef7c4bab8bd675297ddd""}",Mashery,enterprise,0.0,2006.0,New York,,Invalid lat long,Invalid lat long,34700.0
86,"{""$oid"": ""52cdef7c4bab8bd675297ddd""}",Mashery,enterprise,0.0,2006.0,Boston,,Invalid lat long,Invalid lat long,34700.0
87,"{""$oid"": ""52cdef7c4bab8bd675297de4""}",Yapta,travel,,2007.0,Seattle,"{'type': 'Point', 'coordinates': [-122.334264, 47.599925]}",47.599925,-122.334264,24300.0
87,"{""$oid"": ""52cdef7c4bab8bd675297de4""}",Yapta,travel,,2007.0,Seattle,,Invalid lat long,Invalid lat long,24300.0
88,"{""$oid"": ""52cdef7c4bab8bd675297de7""}",Fleck,web,3.0,2006.0,Amsterdam,"{'type': 'Point', 'coordinates': [4.908556, 52.375595]}",52.375595,4.908556,245.25
89,"{""$oid"": ""52cdef7c4bab8bd675297de9""}",Zamzar,web,2.0,2006.0,Southampton,"{'type': 'Point', 'coordinates': [-1.3610845, 50.9444598]}",50.9444598,-1.3610845,0.0
90,"{""$oid"": ""52cdef7c4bab8bd675297de8""}",Coghead,web,21.0,2003.0,Redwood City,"{'type': 'Point', 'coordinates': [-122.221717, 37.476479]}",37.476479,-122.221717,11200.0
91,"{""$oid"": ""52cdef7c4bab8bd675297dea""}",Zooomr,web,,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,50.0
92,"{""$oid"": ""52cdef7c4bab8bd675297ddf""}",Zlio,ecommerce,,2005.0,Paris,"{'type': 'Point', 'coordinates': [2.381836, 48.862825]}",48.862825,2.381836,4000.0
93,"{""$oid"": ""52cdef7c4bab8bd675297de1""}",Jaiku,mobile,8.0,2006.0,Helsinki,"{'type': 'Point', 'coordinates': [24.93105, 60.16377]}",60.16377,24.93105,0.0
94,"{""$oid"": ""52cdef7c4bab8bd675297deb""}",SideStep,web,75.0,1999.0,Santa Clara,"{'type': 'Point', 'coordinates': [-121.977853, 37.374998]}",37.374998,-121.977853,32000.0
95,"{""$oid"": ""52cdef7c4bab8bd675297de0""}",Yelp,search,800.0,2004.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}",37.786183,-122.402195,90000.0
96,"{""$oid"": ""52cdef7c4bab8bd675297dc4""}",Intel,hardware,86300.0,1968.0,Santa Clara,"{'type': 'Point', 'coordinates': [-121.96761, 37.384949]}",37.384949,-121.96761,0.0
97,"{""$oid"": ""52cdef7c4bab8bd675297ded""}",Farecast,search,26.0,2003.0,Seattle,"{'type': 'Point', 'coordinates': [-122.359397, 47.620982]}",47.620982,-122.359397,20600.0
98,"{""$oid"": ""52cdef7c4bab8bd675297df1""}",ConVerdge,enterprise,25.0,2006.0,Santa Monica,"{'type': 'Point', 'coordinates': [-118.495155, 34.0126379]}",34.0126379,-118.495155,0.0
99,"{""$oid"": ""52cdef7c4bab8bd675297dec""}",coRank,web,0.0,2007.0,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.02421, 37.36965]}",37.36965,-122.02421,0.0
100,"{""$oid"": ""52cdef7c4bab8bd675297df2""}",Pageflakes,web,20.0,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.414689, 37.758113]}",37.758113,-122.414689,4100.0
101,"{""$oid"": ""52cdef7c4bab8bd675297df3""}",Instructables,web,,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4058887, 37.7791761]}",37.7791761,-122.4058887,0.0
102,"{""$oid"": ""52cdef7c4bab8bd675297dee""}",Dailymotion,news,120.0,2005.0,Paris,,Invalid lat long,Invalid lat long,68500.0
102,"{""$oid"": ""52cdef7c4bab8bd675297dee""}",Dailymotion,news,120.0,2005.0,NoCity,,Invalid lat long,Invalid lat long,68500.0
102,"{""$oid"": ""52cdef7c4bab8bd675297dee""}",Dailymotion,news,120.0,2005.0,London,,Invalid lat long,Invalid lat long,68500.0
102,"{""$oid"": ""52cdef7c4bab8bd675297dee""}",Dailymotion,news,120.0,2005.0,NoCity,,Invalid lat long,Invalid lat long,68500.0
103,"{""$oid"": ""52cdef7c4bab8bd675297def""}",KickApps,enterprise,72.0,2004.0,New York,"{'type': 'Point', 'coordinates': [-73.9843328, 40.7516611]}",40.7516611,-73.9843328,32000.0
103,"{""$oid"": ""52cdef7c4bab8bd675297def""}",KickApps,enterprise,72.0,2004.0,Venice,"{'type': 'Point', 'coordinates': [-118.468707, 33.991101]}",33.991101,-118.468707,32000.0
103,"{""$oid"": ""52cdef7c4bab8bd675297def""}",KickApps,enterprise,72.0,2004.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4016144, 37.7891086]}",37.7891086,-122.4016144,32000.0
103,"{""$oid"": ""52cdef7c4bab8bd675297def""}",KickApps,enterprise,72.0,2004.0,London,"{'type': 'Point', 'coordinates': [-0.1356235, 51.5094731]}",51.5094731,-0.1356235,32000.0
104,"{""$oid"": ""52cdef7c4bab8bd675297df0""}",RockYou,games_video,106.0,2005.0,Redwood City,"{'type': 'Point', 'coordinates': [-122.206893, 37.484619]}",37.484619,-122.206893,136000.0
105,"{""$oid"": ""52cdef7c4bab8bd675297df9""}",BabyCenter,web,,1997.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.397977, 37.778076]}",37.778076,-122.397977,0.0
106,"{""$oid"": ""52cdef7c4bab8bd675297df8""}",Flickr,web,36.0,2004.0,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}",37.418531,-122.025485,0.0
107,"{""$oid"": ""52cdef7c4bab8bd675297dfa""}",PlaceBlogger,web,,,NoCity,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",37.09024,-95.712891,5000.0
108,"{""$oid"": ""52cdef7c4bab8bd675297df6""}",Slide,public_relations,64.0,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.392144, 37.781427]}",37.781427,-122.392144,78000.0
109,"{""$oid"": ""52cdef7c4bab8bd675297dfd""}",CrowdVine,web,10.0,2007.0,Mill Valley,"{'type': 'Point', 'coordinates': [-122.511687, 37.90077]}",37.90077,-122.511687,0.0
110,"{""$oid"": ""52cdef7c4bab8bd675297dfc""}",TripHub,web,6.0,2005.0,Seattle,"{'type': 'Point', 'coordinates': [-122.338793, 47.614653]}",47.614653,-122.338793,0.0
111,"{""$oid"": ""52cdef7c4bab8bd675297df4""}",Netvibes,web,35.0,2005.0,Paris,"{'type': 'Point', 'coordinates': [2.34668, 48.870806]}",48.870806,2.34668,16000.0
111,"{""$oid"": ""52cdef7c4bab8bd675297df4""}",Netvibes,web,35.0,2005.0,San Francisco,,Invalid lat long,Invalid lat long,16000.0
112,"{""$oid"": ""52cdef7c4bab8bd675297df5""}",Swivel,search,1.0,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.395184, 37.789268]}",37.789268,-122.395184,2000.0
113,"{""$oid"": ""52cdef7c4bab8bd675297dfb""}",WeFi,mobile,,2006.0,Fairfax,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",37.09024,-95.712891,10000.0
